issn_buscado,openalex_id,works_count,cited_by_count,h_index,2yr_mean_citedness,is_in_openalex,error
2525-1937,S4387292426,0,0,2,0.14285714285714285,True,
2314-3932,,0,0,0,0.0,False,
2591-3905,S4387284864,0,0,3,0.05357142857142857,True,
1515-3959;2344-9152,,0,0,0,0.0,False,
2250-7264,,0,0,0,0.0,False,
2591-541X,,0,0,0,0.0,False,
0071-495X;2422-6009,,0,0,0,0.0,False,
0325-1209;2683-9660,,0,0,0,0.0,False,
2618-1894,,0,0,0,0.0,False,
2346-9641,S4210167646,484,863,11,0.4603174603174603,True,
0325-0288;2591-3093,,0,0,0,0.0,False,
2250-5377;2525-2178,,0,0,0,0.0,False,
2469-0783,S2737584542,165,305,8,0.46296296296296297,True,
0329-8922;1851-7587,,0,0,0,0.0,False,
2347-0941,S4210185038,98,64,4,0.18181818181818182,True,
1668-7175;1853-8800,,0,0,0,0.0,False,
2545-8485,,0,0,0,0.0,False,
2591-3239,,0,0,0,0.0,False,
2718-8930,,0,0,0,0.0,False,
2346-898X,S4210169511,303,348,7,0.2894736842105263,True,
2346-898X,S4210169511,303,348,7,0.2894736842105263,True,
1667-5738;1669-7723,,0,0,0,0.0,False,
2796-9606,S4387281487,0,0,1,0.02564102564102564,True,
2953-4224,,0,0,0,0.0,False,
2796-8677,,0,0,0,0.0,False,
2314-3738,S4210203937,205,496,10,0.8571428571428571,True,
2314-3924,S4210172016,59,95,5,0.3870967741935484,True,
1852-9003;2660-700X,,0,0,0,0.0,False,
3008-8216,,0,0,0,0.0,False,
0036-4703;2683-7935,,0,0,0,0.0,False,
1669-726X,,0,0,0,0.0,False,
2362-2105,S4210168200,276,282,7,0.09375,True,
2408-462X,S4387282060,0,0,2,0.0,True,
1514-5816;2422-7544,,0,0,0,0.0,False,
0524-9767;1850-2563,,0,0,0,0.0,False,
0326-7946,,0,0,0,0.0,False,
0329-8930;2591-426X,,0,0,0,0.0,False,
0327-4063;1851-3735,,0,0,0,0.0,False,
0325-0725;1852-7353,,0,0,0,0.0,False,
2684-060X,,0,0,0,0.0,False,
2591-2844;2683-9938,,0,0,0,0.0,False,
2422-6920,S4210173747,177,132,5,0.0,True,
1668-6357;1668-6365,,0,0,0,0.0,False,
2346-8971,S2737350900,660,423,7,0.07894736842105263,True,
2618-2874,,0,0,0,0.0,False,
2314-1662,,0,0,0,0.0,False,
1853-7367,,0,0,0,0.0,False,
0327-3504;2344-9683,,0,0,0,0.0,False,
2451-5728,,0,0,0,0.0,False,
1852-2262,,0,0,0,0.0,False,
